freq real imag
0.0 2.860478746963952e-14 2.860478746963952e-14
1.75 3.011156129619464e-14 2.0697218156883424e-14
3.5 -1.8117471517783216e-14 4.97067076074059e-14
5.25 -2.319131576960077e-15 -8.438420404959777e-15
7.0 1.2236967857800575e-14 3.352638388750747e-14
8.75 -1.8370460498715767e-14 3.1666337757986974e-14
10.5 -1.9793869012199918e-14 1.1507453919217725e-15
12.25 1.180857680445754e-14 1.5438135918590883e-15
14.0 1.9539925233402506e-14 3.411693602707569e-14
15.75 -1.1596595388744607e-14 2.07408693188681e-14
17.5 -2.3114571088064285e-14 3.9546842487308954e-14
19.25 -4.190226178472977e-14 2.947605837971534e-14
21.0 -1.221010181470444e-14 2.7061990143433903e-15
22.75 -3.827030290907297e-14 2.3639293123517318e-14
24.5 -4.103797165211118e-14 2.733506681260739e-14
26.25 -6.433090180002368e-14 4.6895303991894934e-14
28.0 -1.6554753476232296e-13 -1.6554753476232407e-13
29.75 4.68953039918955e-14 -6.433090180002334e-14
31.5 2.7335066812608006e-14 -4.1037971652110984e-14
33.25 2.3639293123517015e-14 -3.827030290907278e-14
35.0 2.706199014343536e-15 -1.2210101814704487e-14
36.75 2.947605837971576e-14 -4.190226178472973e-14
38.5 3.954684248730943e-14 -2.311457108806342e-14
40.25 2.0740869318867735e-14 -1.1596595388744233e-14
42.0 3.4116936027075884e-14 1.9539925233403008e-14
43.75 1.5438135918590725e-15 1.1808576804457196e-14
45.5 1.1507453919215453e-15 -1.979386901219983e-14
47.25 3.16663377579868e-14 -1.8370460498715214e-14
49.0 3.352638388750713e-14 1.2236967857801317e-14
50.75 -8.438420404959607e-15 -2.3191315769599857e-15
52.5 4.970670760740601e-14 -1.8117471517782143e-14
54.25 2.0697218156883105e-14 3.0111561296193996e-14
