freq real imag
0.0 1.354472090042691e-14 1.354472090042691e-14
3.5 -2.3314683517128287e-15 9.769962616701378e-15
7.0 -3.9968028886505635e-15 5.10702591327572e-15
10.5 9.43689570931383e-16 1.3322676295501878e-15
14.0 5.823568671192536e-15 4.884981308350689e-15
17.5 -1.5487611193520934e-14 -2.220446049250313e-16
21.0 1.27675647831893e-14 1.1102230246251565e-15
24.5 -1.7763568394002505e-15 1.687538997430238e-14
28.0 15.999999999999982 -16.000000000000014
31.5 1.4654943925052066e-14 3.552713678800501e-15
35.0 -8.659739592076221e-15 1.609823385706477e-14
38.5 -3.774758283725532e-15 -3.2751579226442118e-15
42.0 4.440892098500626e-16 6.48970248596765e-15
45.5 1.9984014443252818e-14 -8.1601392309949e-15
49.0 -5.995204332975845e-15 -8.659739592076221e-15
52.5 8.215650382226158e-15 2.220446049250313e-15
56.0 -2.7533531010703882e-14 5.46229728115577e-14
59.5 -9.43689570931383e-15 -2.0872192862952943e-14
63.0 7.549516567451064e-15 2.886579864025407e-14
66.5 -1.326716514427062e-14 -7.549516567451064e-15
70.0 6.71174709089264e-15 8.881784197001252e-16
73.5 -1.815214645262131e-14 -4.884981308350689e-15
77.0 -2.2426505097428162e-14 2.8199664825478976e-14
80.5 -4.0745185003743245e-14 4.463096558993129e-14
84.0 -16.000000000000114 15.999999999999888
87.5 1.4432899320127035e-14 -2.375877272697835e-14
91.0 4.884981308350689e-15 2.2648549702353193e-14
94.5 1.7763568394002505e-14 1.3822276656583199e-14
98.0 -1.4654943925052066e-14 -2.9037434302037375e-14
101.5 -3.1530333899354446e-14 -3.941291737419306e-15
105.0 -8.43769498715119e-15 3.863576125695545e-14
108.5 1.3988810110276972e-14 2.886579864025407e-15
