freq real imag
0.0 2.860478746963952e-14 -3.3109506952464687e-13
1.75 1.3663059551845816e-13 -2.2142769377783134e-14
3.5 8.416765650953002e-14 2.0209184723091077e-14
5.25 5.6530820041630037e-14 -1.7690654199555837e-14
7.0 3.7797976701701954e-14 1.140805214492696e-15
8.75 7.802625879408094e-14 1.2592195723337605e-14
10.5 5.333985176523405e-14 2.6904578601306045e-14
12.25 3.901365990577082e-14 4.011892323824365e-15
14.0 4.1405441423911975e-14 6.094536665731548e-14
15.75 -5.692626247536663e-15 2.952112275012305e-14
17.5 2.916075010374408e-14 1.2687583167408676e-14
19.25 4.382369655419538e-14 4.8985037341494174e-14
21.0 1.65374646295261e-14 5.322150215983232e-14
22.75 -1.3434793720777556e-14 2.0197246034375156e-14
24.5 6.097272670543696e-14 6.577575532198222e-14
26.25 -1.8132142043376167e-14 1.0642188234903751e-13
28.0 -1.6554753476232361e-13 5.720957493927848e-14
29.75 6.965442352476149e-16 -4.804323442881305e-15
31.5 -7.467563154494062e-14 -2.5972831427370347e-15
33.25 -1.1962160647778405e-15 -4.17123499982146e-14
35.0 -2.6041367429887414e-14 3.830520133078382e-14
36.75 -5.624989995920995e-14 -2.2393282822951437e-14
38.5 -1.2728478704498507e-14 -4.997383040796485e-14
40.25 1.4836900177659976e-14 -2.816341957488513e-15
42.0 1.2251419836566254e-14 4.6368355863641765e-14
43.75 -2.5661269509454848e-14 1.4276655536422683e-14
45.5 -7.198297538551183e-14 5.959964197184613e-15
47.25 -6.47303815348096e-14 -3.744460253336533e-14
49.0 7.965375043606832e-15 -2.0148610815214027e-14
50.75 -6.728837202355034e-14 -1.1571365371555905e-14
52.5 -5.257842041990643e-14 -4.761499440209896e-14
54.25 -8.582181606538069e-14 -1.2728426238473225e-14
